,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,Tax Parcel
1649,Training Academy / Fire Academy,Municipal,Fire Station,200 Moon Island,02169,7007,48.4,,,Fire Station,2000,25.4,3.6,339351.6,0.9208669250417562,,,Not Available,,,107066000
1650,Transorg LP c/o KeyPoint Partners LLC,Compliant,Other,21 Powerhouse Street,02127,60000,131.1,,,Other,1981,587.3,9.8,7868707.2,0.5493590327519112,,,27.24,,"The water meter was changed out on October 24th, 2013. ",0603405100
1651,Tremont on the Common Condominium,Compliant,Multifamily Housing,151 Tremont Street,02111,517000,45.6,92.0,,"Multifamily Housing, Parking, Swimming Pool",1967,1624.5,3.1,23584997.7,0.31794109590267206,0.03538125000537948,0.6193561341750735,19.88,,,0304850000
1652,Tremont Residential (Grandview Condo),Compliant,Multifamily Housing,165 Tremont St,02111,156534,46.6,97.0,,Multifamily Housing,2004,425.8,2.7,7294858.3,0.22147757219629613,0.7594902563083371,,15.43,,,0304847010
1653,Tremont Temple Baptist Church,Compliant,Worship Facility,88 Tremont St,02108,56473,49,59.0,,Worship Facility,1839,186.4,3.3,2766345,0.11455841183944879,0.00545846595417419,0.8701387932452388,Not Available,,,304702001
1654,Trilogy,Compliant,Multifamily Housing,170 Brookline Avenue,02215,142773,Not Available,,,Multifamily Housing,2006,Not Available,Not Available,Not Available,,,,Not Available,,"Boston Data
170 BROOKLINE AVE
Parcel 2100051018	

Harvard Data
Root 06101	
Trilogy – 170 Brookline Ave.
HUH
",2100051018
1655,Trinity Church,Compliant,Worship Facility,206 Clarendon Street,02116,65000,54121.1,,,Worship Facility,1877,233604.1,3593.9,3517869947.6,0.0007153421311998248,1.1332909002846731e-05,0.9992118537236172,20.19,,,401091000
1656,Trinity Foley,Compliant,Multifamily Housing,249 River Street,02126,125000,55.2,42.0,,Multifamily Housing,1900,424.2,3.4,6904103.7,0.3515994461091307,0.6181867024969512,,Not Available,,Water is paid through Boston Public Health.,1800113100
1657,Trinity Franklin Hill Phase One LP,Compliant,Multifamily Housing,99-113 Shandon Road,02124,94855,59.9,60.0,,Multifamily Housing,2008,330.2,3.5,5678404.6,0.2127985613776095,0.7689150575850126,,63.93,,,1604854012
1658,Trinity Mattapan Heights 5,Compliant,Multifamily Housing,229A River St,02126,74698,49.2,97.0,,Multifamily Housing,2012,209.7,2.8,3673705.4,0.16765291196185736,0.8179402463790374,,Not Available,,Property is on a land lease through Boston Public Health so the water is sub-metered.  Customer does not have Boston Water and sewer invoices.  They manage their usage by manually reading the meter monthly via pictures.  ,1800113800
1659,Trinity Place Condominium,Compliant,Multifamily Housing,1 Huntington Ave.,02116,177636,124.6,1.0,,"Multifamily Housing, Other - Services, Parking, Restaurant",2001,1518.8,8.6,22137848.1,0.39277841238778755,0.10799006702010933,0.4653231855900212,31.28,,"""Other - Services Use"" is the currently vacant health club. The previous Vacant Health club has been converted to a Dental practice office; called Trinity Dental and is open for bussiness 6 days a week. Report was completed by Facilities Manager who oversees the whole Building.",0401053010
1660,TROTTER,Municipal,K-12 School,135 Humboldt Ave.,02121,79600,79.7,44.0,,K-12 School,1969,370.9,4.7,6347612.3,0.22461296553981408,0.7560854181343116,,Not Available,,,1203275000
1661,Troy Boston - 24030,Compliant,Multifamily Housing,55 Traveler Street,02118,361800,45.6,91.0,"2018, 2017","Food Service, Multifamily Housing, Parking, Restaurant, Swimming Pool",2015,1062.2,2.9,16486477.3,0.47740450189441014,,,31.67,,,03 06577-000
1662,Tudor Place Condominium,Compliant,Multifamily Housing,157 W. 6th St.,02127,60000,49.3,91.0,,Multifamily Housing,1989,182,3,2959417.9,0.35411147171881335,0.6154588711516545,,40.63,,Gross floor area was estimated using the total rentable area plus common areas.,600685010
1663,Tufts Medical Center,Compliant,Hospital (General Medical & Surgical),800 Washington St,02111,1829394,162.8,90.0,,"Data Center, Hospital (General Medical & Surgical), Parking",1982,20761.1,11.3,297736558.2,0.3707221591312128,0.008332869886718533,0.588553279313081,25.73,,,305367000
1664,Twenty Two Liberty,Compliant,Multifamily Housing,22 Liberty Drive,02210,222191,65.1,64.0,,Multifamily Housing,2015,843.5,3.8,14465168,0.21918893496432254,0.7619755816178562,,31.64,,,0602671019
1665,Twenty-One Beacon Condominium,Compliant,Multifamily Housing,21 Beacon Street,02108,94785,167.6,18.0,,"Convenience Store without Gas Station, Multifamily Housing, Office, Other - Restaurant/Bar",1900,878.2,9.3,15881418.4,0.09199261004294175,0.9001022100141887,,68.44,,,302807000
1666,Two Financial Center,Compliant,Office,60 South Street,02111,234475,89.8,41.0,"2018, 2017, 2016, 2014","Office, Parking",2009,1577.1,6.7,21045196,0.9208674161457086,,,15.37,,LEED Project ID: 1000056634,0304300010
1667,"Two Hundred Mortgage Associates, L.P.",Compliant,Office,200 High Street,02110,96393,92.6,,,Office,1900,652.4,6.8,8927684.1,0.8422477930866752,0.08537560149557712,,35.95,,,0304042000 0304043010 0304044000
1668,Two International Place,Compliant,Office,Two International Place,02110,851195,77,62.0,"2018, 2017, 2016, 2015, 2014","Bank Branch, Data Center, Fitness Center/Health Club/Gym, Office, Other - Mall, Parking, Repair Services (Vehicle, Shoe, Locksmith, etc.), Restaurant",1992,4913.8,5.8,65572230.1,0.9208674130178774,,,11.67,,,0304071000 0304060010
1669,Two Twenty Two Berkeley,Compliant,Office,222 Berkeley Street,02116,579016,47.5,75.0,"2018, 2017, 2016, 2015, 2014, 2012, 2011, 2009, 2008, 2005, 2002, 1999","Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",1991,2077,3.6,27716416,0.9208674151015773,,,7.7,,LEED 2009 EBOM project 1000000231,0401096000
1670,TYNAN,Municipal,K-12 School,650 E. Fourth St.,02127,120000,73.6,56.0,,K-12 School,1972,508.9,4.2,8831970.7,0.19025221752603869,0.7933988843509185,,Not Available,,,602270000
1671,UE Apartments,Compliant,Multifamily Housing,2014-2030 Columbus Ave,02119,38720,82.3,13.0,,"Multifamily Housing, Parking",1920,203.9,5.3,3186013.7,0.45937489402509474,0.5011497596510649,,45.84,,2017 missing some tenant electric usage data,1101626000
1672,U-Haul Storage at Rusfield St (837054/837065),Compliant,Self-Storage Facility,15 Rusfield,02118,127500,17.9,,,Self-Storage Facility,1920,143.3,1.1,2283780.6,0.40563581081300015,0.5595068107680746,,3.05,,,800969000
1673,Ulin House: 30 Wallingford Rd.,Compliant,Multifamily Housing,30 Wallingford Rd,02135,140889,86.9,80.0,,Multifamily Housing,1971,703.1,5,12239409.7,0.1826948818128051,0.8016056689400634,,42.56,,,2102565015
1674,UMANA,Municipal,K-12 School,312 Border St.,02128,169000,147.9,16.0,,"K-12 School, Swimming Pool",1975,1366.2,8.1,25001463.5,0.06458514436164907,0.9298648817098246,,Not Available,,,103668000
1675,UniFirst Corporation,Compliant,Manufacturing/Industrial Plant,78 - 80 East Cottage Street,02125,45000,56.5,,,Manufacturing/Industrial Plant,1937,190.5,4.2,2541632.9,0.9208674100024437,,,303.2,,,703638000
1676,Union Square Condo Trust,Compliant,Multifamily Housing,15 N-Beacon St,02134,228988,86.5,32.0,,Multifamily Housing,1989,1153.8,5,19810734.5,0.216261297702011,0.7651547901972034,,33.51,,,2201749000
1677,Union Wharf Condominiums,Compliant,Multifamily Housing,343 Commercial Street,02109,250000,14.7,,,"Multifamily Housing, Swimming Pool",1978,232.2,0.9,3674548.5,0.4254651354853528,0.5379735496755588,,13.6,,,0303038200
1678,Unitarian Universalist Association,Compliant,Office,24 Farnsworth Street,02210,74500,96.3,36.0,,Office,1920,456.5,6.1,7177031.6,0.4427375464530489,0.5192168444681226,,1.62,,,0602664000
1679,Uphams Corner (Whole Building Tracking): 530 Columbia Road (Whole Building Tr...,Compliant,Multifamily Housing,530 Columbia Road,02125,60843,42.1,97.0,,Multifamily Housing,2015,161.5,2.7,2561378.3,0.4196961995032128,0.5442382329857327,,28,,,1301316010
1680,"Upham's Corner Health Committee, Inc.",Compliant,Urgent Care/Clinic/Other Outpatient,415 Columbia Rd.,02125,38796,76.8,,,Urgent Care/Clinic/Other Outpatient,1999,208.6,5.4,2979640.7,0.7121876944424875,0.22661208782656242,,21.46,,All data was obtained from monthly utility bills. ,1502977000
1681,Uphams Corner: 614 Columbia Rd,Compliant,Multifamily Housing,614 Columbia Rd,02125,60348,47.1,68.0,,Multifamily Housing,2005,179.1,3,2843972.5,0.41641845692952373,0.5477976668199147,,29.27,,Multiple commercial spaces on the first floor and basement.,0703892012
1682,Upper School - Catholic Memorial,Compliant,K-12 School,235 Baker Street,02132,91425,63,83.0,,K-12 School,1957,347.7,3.7,5983327.5,0.2108395557154443,0.7710424007377167,,8.73,,,2008916000
1683,Van Ness Terrace,Compliant,Multifamily Housing,238 Warren Street,02119,66383,51.5,89.0,,Multifamily Housing,1925,197.4,3,3417505.6,0.19644845878233527,0.7866702252075314,,33.97,,This property consists of 6 connected buildings. Service addresses 238 through 248 Warren Street. ,1200280000
1684,VBC Apartments,Compliant,Multifamily Housing,495 Blue Hill Ave.,02121,35772,55.3,88.0,,Multifamily Housing,1920,113.1,3.2,1976603.1,0.172192965800772,0.8130100575072455,,48.68,,,1202455010
1685,Veronica Smith Senior Center,Municipal,Other,20 Chestnut Hill Ave,02135,13100,87.8,,,Other,2000,66.3,5.1,1150196.8,0.19093262126968183,0.7926600039228069,,Not Available,,,2205513000
1686,Vertex ONE,Compliant,Laboratory,50 Northern Ave,02210,585239,133.1,,,"Laboratory, Parking, Retail Store",2013,5021.6,8.6,77920770.3,0.478090203551286,0.48082623228379456,,17.11,,"Parcel A - Vertex Global Headquarters
LEED project ID  1000021954",0602671015
1687,Vertex TWO,Compliant,Laboratory,11 Fan Pier Blvd.,02210,516693,146.7,,,Laboratory,2013,4998,9.7,75805955,0.5408293997272378,0.41269568993623257,,18.03,,"Parcel B - Vertex Global Headquarters
LEED project ID  1000021955",0602671017
1688,VIA Seaport Residences - Whole Building Meters,Compliant,Multifamily Housing,5 Fan Pier Blvd,02210,330550,113.3,20.0,,Multifamily Housing,2017,2230.7,6.7,37452317.7,0.27205877577504367,0.7045624949400661,,35.07,,,602671035
1689,Victory Gardens Apartments: 54 Orleans Street,Compliant,Multifamily Housing,54 Orleans St,02128,78545,49.4,83.0,,Multifamily Housing,1979,235.7,3,3883304.8,0.32018374967630664,0.6523020546829084,,19.72,,Sq. Ft. adjusted to match parcel/tax assessor - 60-70 Orleans,0105343100
1690,Village at Chestnut Hill,Compliant,Strip Mall,631 VFW Parkway,02467,70042,97.7,,,"Medical Office, Parking, Strip Mall",1940,500.7,7.1,6842668.1,0.8461305810521483,0.08115916070808694,,32.7,,,2007833020
1691,Vine Street Community Center,Municipal,Other - Recreation,339 Dudley St,02119,25000,47.2,,,Other - Recreation,2000,75.8,3,1181136.6,0.4667631415367198,0.4931267052430684,,Not Available,,,802700000
1692,Viviendas: 100 West Dedham,Compliant,Multifamily Housing,100 West Dedham,02118,63968,87.2,51.0,,Multifamily Housing,2001,327.7,5.1,5579480.7,0.23700369028967155,0.7426299727141273,,58.18,,,0900080000
1693,Walbridge Brainerd,Compliant,Multifamily Housing,25 Walbridge St,02134,24700,179.3,1.0,,Multifamily Housing,1920,244.5,9.9,4427718,0.08913260781287335,0.9032080182161556,,85.49,,Alternative service addresses: 109 Brainerd/99 Brainerd,2101463000
1694,Walbridge/Commonwealth Assoc LLC: 1350 Commonwealth Avenue,Compliant,Multifamily Housing,1350 Commonwealth Avenue,02134,29096,48.6,93.0,,Multifamily Housing,1920,78.6,2.7,1413694.6,0.10509971248387028,0.8858687725057448,,28.21,,-basement sqft situation needs to be checked and confirmed,2101454000
1695,Walker Building,Compliant,College/University,120 Boylston St,02116,176296,107.1,,,College/University,1891,1353.5,7.7,18888546.6,0.5671791464463443,,0.38408163706994797,22.46,,,0500043011
1696,Walnut Washington,Compliant,Multifamily Housing,361-363 Walnut Ave,02119,27261,69.3,79.0,,Multifamily Housing,1920,108.6,4,1889220,0.18376646976000677,0.8004420342786971,,46.45,,,1101620000
1697,Wang Theatre,Compliant,Performing Arts,270 Tremont Street,02116,88434,111,,,Performing Arts,1925,693.4,7.8,9811943.4,0.49606843088801345,0.02513531621064997,0.43616779322228866,866.68,,,305651000
1698,Wardman,Compliant,Multifamily Housing,19 Wardman Road,02119,80055,85.1,44.0,,Multifamily Housing,1920,395.7,4.9,6812546.6,0.20968782813170042,0.7722931392498659,,44.24,,This property is a single building that spans across 5 parcel numbers.,1101661000; 1101662000; 1101663000; 1101664000; 1101665000
1699,Warehouse,Compliant,College/University,76 Atherton Street,02115,140197,47.3,,,College/University,1910,370,2.6,6626011.5,0.11520014415912197,0.874900413318027,,1.15,,,1101222000
1700,WARREN PRESCOTT,Municipal,K-12 School,50 School St.,02129,59330,53,86.0,,K-12 School,1963,177.7,3,3145723.8,0.1425510529563975,0.8451991875446917,,13.28,,,200276000
1701,Washington Associates LLC: 116 Washington Street,Compliant,Multifamily Housing,116 Washington Street,02135,22400,113.1,71.0,,Multifamily Housing,1920,188.2,8.4,2532373.8,0.11429137041300934,,,78.93,,Square footage different on the tax assessor map - however the GFA listed is the correct area. ,2101900000
1702,Washington Beech - 4560 WASHINGTON ST,Compliant,Multifamily Housing,4560 WASHINGTON ST,02131,79766,33.8,100.0,,Multifamily Housing,2010,158.4,2,2692987.9,0.24066218047247817,0.7386571250468671,,36.15,,,1806017110
1703,Washington Jewelers Building,Compliant,Office,373-387 Washington St.,02108,118094,67.1,,,"Office, Retail Store",1920,587.8,5,7925201.4,0.36541387733061265,0.015811143928783942,,40.27,,,0304734000
1704,Washington Park,Compliant,Multifamily Housing,25-33 Wyoming Street,02121,52416,82.1,28.0,,Multifamily Housing,1890,250.1,4.8,4301668.7,0.2120217189203808,0.7697587217723205,,33.26,,,1201990000
1705,Washington Square Condominium,Compliant,Multifamily Housing,"309 -  313 Allston St., and 1560 - 1576 Commonwealth Ave.",02135,154240,11.9,100.0,,Multifamily Housing,1985,129.5,0.8,1829276,0.7459842756369187,0.18991119984081134,,37.93,,sq footage is an estimate.  ,2101724000
1706,Washington Street Boston LP,Compliant,Office,600 Washington Street,02111,251464,91.3,70.0,,"Office, Other",1903,1703.9,6.8,22949997.1,0.3986638146198284,0.013334075758989964,,9.49,,"9/22/15: Ceasar's vacated as of 8/24/14. We have no means of obtaining authorization for their electricity usage. As of1/1/15 space was taken over by Skin Care Adventure.

3/23/16: Removed 2 meters (1744313, 5060888) - included in the aggregate data BERDO.

5/15/17: Have not received the electricity usage for the 2 tenant spaces. We don't have access to their meters. Waiting for usage from Eversource. (4:08pm)

5/16/17: Electricity usage combined for the retail tenants (2016). BERDO electric retail (4:40pm)",0304486000
1707,Washington Street Bus Lot,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000 Washington St,02119,65848,Not Available,,,"Parking, Repair Services (Vehicle, Shoe, Locksmith, etc.)",1985,Not Available,Not Available,Not Available,,,,Not Available,,,801946000
1708,Waterside Place,Compliant,Multifamily Housing,505 Congress Street,02210,342500,42.6,66.0,,"Multifamily Housing, Parking",2014,1000.2,2.9,14605289.6,0.648595910854106,0.29566851587797344,,20.46,,Parcel ID 0602678015,0602678015
1709,Waterview - 1350 Columbia Rd,Compliant,Multifamily Housing,1350 Columbia Rd,02127,41739,61.7,83.0,,Multifamily Housing,1975,149,3.6,2573827.1,0.20101971806886326,0.781706160448773,,37.85,,,701436000
1710,Waterworks (Watermark): 2400 Beacon Street,Compliant,Multifamily Housing,2400 Beacon Street,02467,187885,44.2,88.0,,Multifamily Housing,2006,516.3,2.7,8305478.3,0.382092031424608,0.5850737819638876,,20.56,,,2102439200
1711,Waterworks (Whitehall): 2420 Beacon Street,Compliant,Multifamily Housing,2420 Beacon Street,02467,61123,38.8,92.0,,Multifamily Housing,2006,149.4,2.4,2374440.1,0.4141351773835019,0.5502771369132454,,12.96,,High source EUI most likely coming from electricity use. Data within the electric meter is the whole building data sent directly from ConEd.,2102439060
1712,Waverly,Compliant,Multifamily Housing,9 Bronsdon Street,02135,96236,98,18.0,,Multifamily Housing,1970,547.5,5.7,9431766.1,0.2082765591271395,0.7738256677081932,,44.39,,,2200716000
1713,Waverly Arms Condominium,Compliant,Multifamily Housing,26 Waverly St,02135,35624,60.2,86.0,,Multifamily Housing,1980,159.6,4.5,2146093.4,0.18860988715588986,,,40.34,,,2200650000
1714,Wayne at Franklin Hill: Wayne at Franklin Hill,Compliant,Multifamily Housing,140 American Legion Highway,02124,78266,76.2,67.0,,Multifamily Housing,1990,342.7,4.4,5962874.7,0.1837426253481395,0.8004679018326513,,66.85,,"sq footage from boston tax assessor's database
",1404338000
1715,WBZ TV,Compliant,Other,1170 Soldiers Field Road,02134,97056,189.4,,,"Other, Parking",1948,1239.4,12.8,18378337.8,0.6043309819781416,0.34373724483396967,,10.26,,"Building is in use 24 X 7 
168 hours per week
",2200551000
1716,Weld Hill Research and Admin Building,Compliant,College/University,1300 Centre Street,02131,40000,Not Available,,,College/University,2009,Not Available,Not Available,Not Available,,,,Not Available,,This building utilizes a geothermal system that primarily operates on electrical energy sources.,2005207000
1717,Wentworth Institute of Technology,Compliant,College/University,550 Huntington Ave.,02115,1395494,85.3,,,"College/University, Parking",1910,7079.2,5.2,115281804.8,0.3499249706125351,0.6200050443693262,,16.44,,,402024000 402025000 401826000 402037001 401810000 401833000 401832000 401831000 401830000 401815000 401814000 401812000 401811000 401816000 401817000 401819000 402044000 402045000 902907000 402031000 401822000
1718,West End Apartments - 19155,Compliant,Multifamily Housing,4 Emerson Place,02114,371580,79.8,29.0,,"Multifamily Housing, Parking",2008,1874.6,5,29634042,0.42802660815558,0.5351919221819285,,35.49,,"2014-1  Assessor's address is 1 25 Emerson Pl.
2014-2  Gross floor area is ""living area"" per Assessor's doc provided by N. Nadkarni, City of Boston.  Assume figure does not include any parking.",0300449000
1719,West End Branch,Municipal,Library,151 Cambridge St,02114,12562,64.2,,,Library,2000,49.7,4,806021.8,0.36247681067683274,0.6063744181608983,,Not Available,,,300656000
1720,West End Place,Compliant,Multifamily Housing,150 Staniford Street,02114,253957,60,85.0,,"Multifamily Housing, Parking, Retail Store",1997,918.6,3.6,15226544.9,0.30431240391245945,0.6695372172054607,,16.65,,"150  STANIFORD ST #1: 300471002
150 STANIFORD ST #2:  300471004
",300471002;300471004
1721,West Fenway Elderly Housing: 110 Peterborough St,Compliant,Multifamily Housing,110 Peterborough St,02215,40752,55.8,93.0,,Multifamily Housing,1990,136,3.3,2275261.3,0.2811732524963177,0.6946648281672088,,68.46,,,2100033000
1722,West Roxbury Branch,Municipal,Library,1961 Centre St,02132,23193,62.5,,,Library,2000,84.5,3.6,1450089.7,0.21671416947517108,0.7646630411897968,,Not Available,,,2006569000
1723,WEST ROXBURY HS,Municipal,K-12 School,1205 VFW PKWY,02132,227030,136.6,15.0,,"K-12 School, Swimming Pool",1976,1726.8,7.6,31001758.7,0.10913491852318687,0.8814868331969825,,Not Available,,,2008982000
1724,West Square,Compliant,Multifamily Housing,320 D St,02127,351089,32.7,98.0,,Multifamily Housing,2014,724.1,2.1,11468165.6,0.4229573403090726,0.5406967963559927,,17.89,,,0601509010
1725,West Street,Compliant,Office,33 and 41 West Street,02111,42649,24967.9,1.0,,Office,1899,70713.4,1658,1064855353.6,0.0008659227027245328,,0.9990596660883426,12.47,,Multiple Parcels at the same site:  0304819000 & 0304818000,304818000
1726,Westland Ave Apartments,Compliant,Multifamily Housing,65 Westland Ave,02115,114949,49.7,96.0,,Multifamily Housing,1900,326.6,2.8,5716315.1,0.16989554862012418,0.8155049045494361,,5.16,,"Addresses include: 65-67 Westland Ave., 66 Westland Ave., 72-78 Westland Ave., and 83 Westland Ave. ",0401512000
1727,Westland Ave Garage,Compliant,Supermarket/Grocery Store,35 Westland Ave,02115,18175,546.2,2.0,,"Parking, Supermarket/Grocery Store",1978,675.5,37.2,9927143.8,0.6302333416788019,0.3156090375159066,,86.06,,,0401460000
1728,Westside Crossing,Compliant,Multifamily Housing,339 D St,02127,41760,23.8,100.0,,Multifamily Housing,2014,63.2,1.5,993168,0.4457690038341952,0.5159248989093487,,2.52,,,0601520004
1729,WHEATLEY,Municipal,K-12 School,20 Kearsarge Ave.,02119,55351,48.5,85.0,,K-12 School,1929,156.8,2.8,2683058.9,0.22462523278933608,0.7560721085921744,,Not Available,,,1200044000
1730,Whittier Place Condominium,Compliant,Multifamily Housing,6 Whittier Place,02114,696351,66.1,26.0,,Multifamily Housing,2001,2909.6,4.2,46043240.4,0.4252756172347939,0.5381793198030432,,34.03,,,300450000
1731,Wilder Gardens,Compliant,Multifamily Housing,36 Bishop Joe L. Smith Way,021121,70756,70.6,84.0,,Multifamily Housing,1920,293.8,4.2,4997074.8,0.23924931241773686,0.7401913815658714,,54.32,,"Includes parcel ids: 1400732000, 1400733000, 1400734000, 1400735000. Together these buildings exceed 50,000 square feet. Required parcel id, 1400731000, only amounts to 14,000 square feet and has less than 35 units. 

Utility usage rolled up together from utility companies as they are managed on the property level and meters are split over property. ",1400731000
1732,Wilder House,Compliant,Office,680 Soldiers Field Road,02163,6377,60.6,94.0,,Office,1926,26.2,4.1,386258.4,0.1683196854748013,,0.8172164022840668,2.82,,"Until March 2019, water was allocated by gross square footage for this property, and did not represent actual usage. After March 2019, monthly readings are accurate.

Steam usage is allocated as 12% of the meter shared with Mellon Hall.  Allocation is by GSF.",2200530000
1733,Wilkes Passage Condominium Trust,Compliant,Multifamily Housing,1313 Washington Street,02118,287000,52.5,79.0,,Multifamily Housing,1900,943.5,3.3,15081760,0.3984258981179915,0.567336298946542,,22.83,,,0306010010
1734,William J. Devine Golf Course,Municipal,Other - Recreation,1 Circuit Drive,02124,14000,134.6,,,Other - Recreation,2000,114,8.1,1883782.2,0.3127685567896331,0.6603544719766437,,Not Available,,,1203486000
1735,WILSON,Municipal,K-12 School,18 Croftland Ave,02124,97130,68.7,70.0,,K-12 School,1932,375.1,3.9,6674808,0.12991849398514535,0.8589172752234971,,Not Available,,,1704353000
1736,Windsor Place Condominium,Compliant,Multifamily Housing,"388, 390 and 396 Commonwealth Avenue",02215,120295,76,65.0,,"Multifamily Housing, Office",1897,553.7,4.6,9143362.9,0.3139026197680505,0.659122914174171,,38.15,,,503810000
1737,Winhall Liberty LLC,Compliant,Office,87 Kilby Street,02109,67609,Not Available,,,Office,1907,Not Available,Not Available,Not Available,,,,Not Available,,,0303877000
1738,WINSHIP,Municipal,K-12 School,54 Dighton St.,02135,41016,62.6,73.0,,K-12 School,1901,146.9,3.6,2569030.3,0.17165219888609334,0.8135972938894493,,Not Available,,,2204864000
1739,WINTHROP,Municipal,K-12 School,35 Brookford St.,02125,43456,64.9,74.0,,K-12 School,1911,158.8,3.7,2821675.4,0.13365614627394776,0.8548584645845515,,Not Available,,,1300476000
1740,Woodbourne Apartments,Compliant,Multifamily Housing, 6 Southbourne Rd,02130,49064,85.5,47.0,,Multifamily Housing,1980,245.9,5,4197294.7,0.23054821849892979,0.7496401432093868,,62.02,,,1904952000
1741,Work Inc,Compliant,Office,25 Beach St,02122,130000,44.4,80.0,,Office,1910,372,2.9,5775084.4,0.47717310922763306,0.4818221357942405,,5.14,,,1600011000
1742,World Trade Center East-Boston,Compliant,Office,2 Seaport Lane,02210,486760,72.8,44.0,"2009, 2008","Office, Social/Meeting Hall",2000,2655.3,5.5,35433837.3,0.9208674122573793,,,15.49,,,0602679035
1743,World Trade Center West,Compliant,Office,155 Seaport Boulevard,02210,551185,91.2,33.0,,Office,2000,3707,6.7,50292671.7,0.8689830516997569,0.05634292441059559,,17.91,,,0602677010
1744,Wyndham Boston Beacon Hill,Compliant,Hotel,5 Blossom Street,02114,224602,75.4,84.0,"2017, 2013","Hotel, Swimming Pool",1968,1089.8,4.9,16932441.5,0.4746084543921206,0.48460719028617344,,41.03,,,0300660002
1745,Wyss Hall,Compliant,Office,710 Soldiers Field Road,02163,6290,58.8,84.0,,Office,1926,26.4,4.2,369656.9,0.5270157191709393,,0.4276968724241317,4.65,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate.

Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Connell. Allocation is by GSF.",2200530000
1746,XII Stoneholm Condominium Trust,Compliant,Multifamily Housing,12 Stoneholm St,02115,118301,27.6,99.0,,Multifamily Housing,1900,244.4,2.1,3261189.6,0.9208674300322802,,,25.37,,,0401404000
1747,YMCA of Greater Boston - Constitution Inn,Compliant,Hotel,150 Second Avenue,02129,111388,198.8,7.0,,"Hotel, Swimming Pool",1992,1251.9,11.2,22148160.9,0.1437647206906466,0.8438811865413169,,29.74,,"The hotel consists of a 20,000 sq. ft. fitness center.",0203511300 0203511301
1748,YMCA of Greater Boston - Huntington,Compliant,Fitness Center/Health Club/Gym,316 Huntington Avenue,02115,100961,203.1,,,"Fitness Center/Health Club/Gym, Swimming Pool",2014,1211.6,12,20507189,0.2518753494396526,0.7264803381877448,,80.13,,,0402245045 0402245042 402245044
1749,YMCA of Greater Boston - Oak Square,Compliant,Fitness Center/Health Club/Gym,615 Washington Street,02135,38813,339.2,,,"Fitness Center/Health Club/Gym, Swimming Pool",2004,765,19.7,13164145.2,0.21075940257784456,0.7711294843511753,,107.35,,,2203801000
1750,YMCA of Greater Boston - Parkway,Compliant,Fitness Center/Health Club/Gym,1972 Centre St,02132,35998,364.3,,,"Fitness Center/Health Club/Gym, Swimming Pool",2016,756.5,21,13113290.6,0.19290213724082345,0.7905212594007488,,52.39,,"This property was built in year 1951, and remodeled, completed year 2016",2002296000
1751,Zelma Lacey Assisted Living: 9 West School St,Compliant,Multifamily Housing,9 W School St,02129,39384,94.3,20.0,,Multifamily Housing,2004,228.6,5.8,3712022.2,0.3572162620686913,0.6120872068060368,,51.89,,,202350000
1752,Zero-Sort Building,Compliant,Manufacturing/Industrial Plant,410 R Rutherford Ave,02129,82706,Not Available,,,Manufacturing/Industrial Plant,1965,Not Available,Not Available,Not Available,,,,9.67,,,0202162095
0,(71031A) BOSTON,Compliant,Retail Store,450 WASHINGTON STREET,02111,389183,14.8,100.0,,Retail Store,1975.0,404.8,1,5771701.5,1.0,,,Not Available,,,304540000
1,0004-Roslindale,Compliant,Supermarket/Grocery Store,950 American Legion Highway,02131,38160,237.7,43.0,,Supermarket/Grocery Store,2010.0,596.6,15.6,9071832.6,0.579682367595716,0.42031763240428405,,Not Available,,,1807323050
2,00602-prudential,Compliant,Supermarket/Grocery Store,53 Huntington Ave,02199,42918,251.5,66.0,,Supermarket/Grocery Store,2003.0,1016.1,17.1,14970545.6,0.6764379649596739,0.32356203504032616,,3.06,,,401037400
3,0089-Allston,Compliant,Supermarket/Grocery Store,60 Everett Street,02134,73613,218.3,53.0,,Supermarket/Grocery Store,1998.0,1050.4,14.3,16069556.7,0.5615016810015674,0.4384983189984326,,Not Available,,,2201870000
4,0413-Hyde Park,Compliant,Supermarket/Grocery Store,1025 Truman Highway,02136,38890,206.7,60.0,,Supermarket/Grocery Store,2012.0,523.2,13.5,8038633.4,0.5485265194454569,0.45147348055454295,,Not Available,,,1400641010
5,045-HIESB,Compliant,Hotel,69 R. Boston Street,02125,58051,127.1,30.0,,Hotel,2010.0,474.7,8.2,7381013.9,0.5129801747155631,0.48701981173616266,,115.38,,,703436000
